,latitude,longitude,price,bedrooms,bathrooms,homeType,homeStatus
207,21.259974,-157.79178,4500000.0,4.0,5.0,SINGLE_FAMILY,FOR_SALE
208,21.331839,-158.07033,517000.0,2.0,1.0,TOWNHOUSE,FOR_SALE
209,21.483389,-158.20284,289000.0,1.0,1.0,CONDO,FOR_SALE
210,21.337467,-158.11089,775000.0,2.0,3.0,TOWNHOUSE,FOR_SALE
211,21.484661,-158.19267,1548000.0,4.0,4.0,SINGLE_FAMILY,FOR_SALE
212,21.367588,-157.91483,1250000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
213,21.293634,-157.84013,280000.0,0.0,1.0,CONDO,FOR_SALE
214,21.338648,-158.03078,380000.0,1.0,1.0,TOWNHOUSE,FOR_SALE
215,21.388962,-158.03009,888000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
216,21.394508,-158.02763,899000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
217,21.462927,-158.00345,988000.0,2.0,2.0,SINGLE_FAMILY,FOR_SALE
218,21.32035,-158.00725,825000.0,5.0,2.0,SINGLE_FAMILY,FOR_SALE
219,21.271265,-157.7757,175000.0,2.0,2.0,CONDO,FOR_SALE
220,21.311068,-157.83585,3900000.0,12.0,10.0,SINGLE_FAMILY,FOR_SALE
221,21.282713,-157.8288,410000.0,1.0,1.0,CONDO,FOR_SALE
222,21.50869,-158.0014,715000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
223,21.358204,-158.02664,899000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
224,21.259148,-157.81924,5599000.0,2.0,2.0,CONDO,FOR_SALE
225,21.49638,-158.04994,345000.0,2.0,1.0,CONDO,FOR_SALE
226,21.27509,-157.81874,350000.0,1.0,1.0,CONDO,FOR_SALE
227,21.411406,-157.80602,780000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
228,21.34401,-158.08133,949000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
229,21.365278,-158.07762,1285000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
230,21.397015,-157.73842,2655000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
231,21.38552,-157.93617,545000.0,2.0,2.0,CONDO,FOR_SALE
232,21.32559,-158.0768,925000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
233,21.312403,-157.99849,2780000.0,8.0,4.0,SINGLE_FAMILY,FOR_SALE
234,21.285557,-157.83711,718000.0,2.0,2.0,CONDO,FOR_SALE
235,21.361746,-158.0787,997000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
236,21.293158,-157.82855,425000.0,1.0,1.0,CONDO,FOR_SALE
237,21.292885,-157.72581,950000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
238,21.414001,-157.99986,479000.0,2.0,1.0,TOWNHOUSE,FOR_SALE
239,21.416077,-158.17561,750000.0,5.0,2.0,SINGLE_FAMILY,FOR_SALE
240,21.344597,-157.91164,510000.0,3.0,2.0,CONDO,FOR_SALE
241,21.295885,-157.6851,1830000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
242,21.414736,-157.76451,965000.0,4.0,2.0,TOWNHOUSE,FOR_SALE
243,21.423225,-157.79445,729000.0,2.0,2.0,TOWNHOUSE,FOR_SALE
244,21.30812,-157.84813,565000.0,2.0,2.0,CONDO,FOR_SALE
245,21.293266,-157.74706,2980000.0,4.0,5.0,SINGLE_FAMILY,FOR_SALE
246,21.42324,-157.95772,842700.0,3.0,3.0,CONDO,FOR_SALE
247,21.369125,-157.92447,540000.0,2.0,1.0,TOWNHOUSE,FOR_SALE
248,21.341562,-158.02162,998000.0,5.0,3.0,SINGLE_FAMILY,FOR_SALE
249,21.392454,-157.99825,1088000.0,5.0,3.0,SINGLE_FAMILY,FOR_SALE
250,21.28365,-157.81883,2500000.0,,,MULTI_FAMILY,FOR_SALE
251,21.35911,-157.85141,899000.0,7.0,2.0,SINGLE_FAMILY,FOR_SALE
252,21.287172,-157.83961,599000.0,2.0,2.0,CONDO,FOR_SALE
253,21.482248,-158.20401,495000.0,2.0,2.0,CONDO,FOR_SALE
254,21.314623,-157.85614,450000.0,2.0,1.0,CONDO,FOR_SALE
255,21.579473,-158.10805,850000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
256,21.345745,-157.90135,469000.0,2.0,2.0,CONDO,FOR_SALE
257,21.257713,-157.79227,2500000.0,3.0,1.0,SINGLE_FAMILY,FOR_SALE
258,21.438845,-158.18675,950000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
259,21.420477,-157.79916,1395000.0,5.0,3.0,SINGLE_FAMILY,FOR_SALE
260,21.396297,-157.95164,688000.0,3.0,3.0,TOWNHOUSE,FOR_SALE
261,21.382265,-157.73051,1850000.0,7.0,4.0,SINGLE_FAMILY,FOR_SALE
262,21.283016,-157.81595,425000.0,1.0,1.0,CONDO,FOR_SALE
263,21.311361,-158.02074,1150000.0,4.0,4.0,SINGLE_FAMILY,FOR_SALE
264,21.361654,-157.76697,885000.0,3.0,3.0,TOWNHOUSE,FOR_SALE
265,21.551006,-157.84789,1895000.0,2.0,2.0,SINGLE_FAMILY,FOR_SALE
266,21.34458,-157.91162,488000.0,3.0,2.0,CONDO,FOR_SALE
267,21.32203,-158.01045,800000.0,4.0,1.0,SINGLE_FAMILY,FOR_SALE
268,21.30868,-158.02193,1575000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
269,21.346085,-158.08934,829000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
270,21.41832,-158.00226,979000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
271,21.393122,-157.73958,1225000.0,3.0,2.0,CONDO,FOR_SALE
272,21.332838,-157.86201,1299000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
273,21.402803,-157.74602,1585000.0,3.0,4.0,SINGLE_FAMILY,FOR_SALE
274,21.409328,-158.17148,600000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
275,21.388891,-157.79932,1375000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
276,21.277164,-157.75244,9800000.0,3.0,5.0,SINGLE_FAMILY,FOR_SALE
277,21.31567,-157.8543,717600.0,5.0,2.0,MULTI_FAMILY,FOR_SALE
278,21.356903,-158.08818,565000.0,2.0,1.0,TOWNHOUSE,FOR_SALE
279,21.39508,-157.93973,949000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
280,21.305166,-157.83382,295000.0,1.0,1.0,CONDO,FOR_SALE
