,Unnamed: 0,latitude,longitude,price,bedrooms,bathrooms,homeType,homeStatus
179,179,21.405703,-157.99356,1.32666727295256,13.0,7.0,SINGLE_FAMILY,FOR_SALE
180,180,21.281364,-157.8163,0.4895145034659226,2.0,2.0,CONDO,FOR_SALE
181,181,21.643286,-158.0394,1.514176218347981,4.0,3.0,SINGLE_FAMILY,FOR_SALE
182,182,21.329824,-158.0257,0.7259748992079361,3.0,2.0,SINGLE_FAMILY,FOR_SALE
183,183,21.318033,-157.85336,1.2694189666150197,,,MULTI_FAMILY,FOR_SALE
184,184,21.30548,-157.83398,0.1991245437827482,0.0,1.0,CONDO,FOR_SALE
185,185,21.33948,-158.01813,0.5807799193663489,3.0,2.0,CONDO,FOR_SALE
186,186,21.326187,-157.87526,0.3028352436695962,2.0,1.0,CONDO,FOR_SALE
187,187,21.39591,-157.74231,0.6015220593437185,2.0,2.0,CONDO,FOR_SALE
188,188,21.412275,-157.74356,5.185534994342401,4.0,5.0,SINGLE_FAMILY,FOR_SALE
189,189,21.2711,-157.70699,2.310674393478974,3.0,3.0,SINGLE_FAMILY,FOR_SALE
190,190,21.406572,-158.16817,0.5807799193663489,3.0,3.0,SINGLE_FAMILY,FOR_SALE
191,191,21.315817,-157.80513,1.4021686624701852,3.0,2.0,SINGLE_FAMILY,FOR_SALE
192,192,21.416924,-157.8111,0.5392956394116097,2.0,1.0,TOWNHOUSE,FOR_SALE
193,193,21.274864,-157.70848,4.314364285607279,6.0,9.0,SINGLE_FAMILY,FOR_SALE
194,194,21.346107,-157.90512,0.36340229240351546,1.0,1.0,CONDO,FOR_SALE
195,195,21.305573,-157.84076,0.3484679516198093,1.0,1.0,CONDO,FOR_SALE
196,196,21.38513,-157.7347,1.3482390985290242,3.0,2.0,SINGLE_FAMILY,FOR_SALE
197,197,21.41641,-157.79388,0.5376362682134201,,,LOT,FOR_SALE
198,198,21.361774,-158.08922,0.43060682593019295,2.0,2.0,CONDO,FOR_SALE
199,199,21.366484,-158.08298,0.37335851959265287,2.0,1.0,TOWNHOUSE,FOR_SALE
200,200,21.308619,-158.02718,1.207192546682911,4.0,3.0,SINGLE_FAMILY,FOR_SALE
201,201,21.28599,-157.82373,0.6969359032396186,2.0,2.0,CONDO,FOR_SALE
202,202,21.331465,-158.01521,0.6637484792758274,3.0,3.0,SINGLE_FAMILY,FOR_SALE
203,203,21.47503,-158.00542,1.0362773132693854,3.0,3.0,SINGLE_FAMILY,FOR_SALE
204,204,21.370005,-157.76804,1.4312076584385027,4.0,2.0,SINGLE_FAMILY,FOR_SALE
205,205,21.45777,-158.00986,0.9499900109635279,4.0,2.0,SINGLE_FAMILY,FOR_SALE
206,206,21.345875,-158.08907,0.8089434591174145,4.0,2.0,SINGLE_FAMILY,FOR_SALE
207,207,21.259974,-157.79178,3.7335851959265285,4.0,5.0,SINGLE_FAMILY,FOR_SALE
208,208,21.331839,-158.07033,0.4289474547320034,2.0,1.0,TOWNHOUSE,FOR_SALE
209,209,21.483389,-158.20284,0.2397791381383926,1.0,1.0,CONDO,FOR_SALE
210,210,21.337467,-158.11089,0.6430063392984577,2.0,3.0,TOWNHOUSE,FOR_SALE
211,211,21.484661,-158.19267,1.2843533073987259,4.0,4.0,SINGLE_FAMILY,FOR_SALE
212,212,21.367588,-157.91483,1.0371069988684802,4.0,2.0,SINGLE_FAMILY,FOR_SALE
213,213,21.293634,-157.84013,0.23231196774653956,0.0,1.0,CONDO,FOR_SALE
214,214,21.338648,-158.03078,0.315280527656018,1.0,1.0,TOWNHOUSE,FOR_SALE
215,215,21.388962,-158.03009,0.7367608119961683,3.0,2.0,SINGLE_FAMILY,FOR_SALE
216,216,21.394508,-158.02763,0.7458873535862109,3.0,2.0,SINGLE_FAMILY,FOR_SALE
217,217,21.462927,-158.00345,0.8197293719056468,2.0,2.0,SINGLE_FAMILY,FOR_SALE
218,218,21.32035,-158.00725,0.6844906192531969,5.0,2.0,SINGLE_FAMILY,FOR_SALE
219,219,21.271265,-157.7757,0.14519497984158722,2.0,2.0,CONDO,FOR_SALE
220,220,21.311068,-157.83585,3.235773836469658,12.0,10.0,SINGLE_FAMILY,FOR_SALE
221,221,21.282713,-157.8288,0.3401710956288615,1.0,1.0,CONDO,FOR_SALE
222,222,21.50869,-158.0014,0.5932252033527706,3.0,2.0,SINGLE_FAMILY,FOR_SALE
223,223,21.358204,-158.02664,0.7458873535862109,3.0,3.0,SINGLE_FAMILY,FOR_SALE
224,224,21.259148,-157.81924,4.645409669331697,2.0,2.0,CONDO,FOR_SALE
225,225,21.49638,-158.04994,0.28624153168770056,2.0,1.0,CONDO,FOR_SALE
226,226,21.27509,-157.81874,0.29038995968317444,1.0,1.0,CONDO,FOR_SALE
227,227,21.411406,-157.80602,0.6471547672939316,3.0,3.0,SINGLE_FAMILY,FOR_SALE
228,228,21.34401,-158.08133,0.7873716335409502,4.0,2.0,SINGLE_FAMILY,FOR_SALE
229,229,21.365278,-158.07762,1.0661459948367977,4.0,3.0,SINGLE_FAMILY,FOR_SALE
230,230,21.397015,-157.73842,2.202815265596652,3.0,2.0,SINGLE_FAMILY,FOR_SALE
231,231,21.38552,-157.93617,0.45217865150665737,2.0,2.0,CONDO,FOR_SALE
232,232,21.32559,-158.0768,0.7674591791626754,3.0,2.0,SINGLE_FAMILY,FOR_SALE
233,233,21.312403,-157.99849,2.3065259654835,8.0,4.0,SINGLE_FAMILY,FOR_SALE
234,234,21.285557,-157.83711,0.595714260150055,2.0,2.0,CONDO,FOR_SALE
235,235,21.361746,-158.0787,0.8271965422974998,3.0,2.0,SINGLE_FAMILY,FOR_SALE
236,236,21.293158,-157.82855,0.35261637961528325,1.0,1.0,CONDO,FOR_SALE
237,237,21.292885,-157.72581,0.788201319140045,4.0,2.0,SINGLE_FAMILY,FOR_SALE
238,238,21.414001,-157.99986,0.39741940196640163,2.0,1.0,TOWNHOUSE,FOR_SALE
239,239,21.416077,-158.17561,0.6222641993210881,5.0,2.0,SINGLE_FAMILY,FOR_SALE
240,240,21.344597,-157.91164,0.42313965553833993,3.0,2.0,CONDO,FOR_SALE
241,241,21.295885,-157.6851,1.518324646343455,4.0,3.0,SINGLE_FAMILY,FOR_SALE
242,242,21.414736,-157.76451,0.8006466031264667,4.0,2.0,TOWNHOUSE,FOR_SALE
243,243,21.423225,-157.79445,0.6048408017400977,2.0,2.0,TOWNHOUSE,FOR_SALE
244,244,21.30812,-157.84813,0.46877236348855306,2.0,2.0,CONDO,FOR_SALE
245,245,21.293266,-157.74706,2.472463085302457,4.0,5.0,SINGLE_FAMILY,FOR_SALE
246,246,21.42324,-157.95772,0.6991760543571746,3.0,3.0,CONDO,FOR_SALE
247,247,21.369125,-157.92447,0.44803022351118343,2.0,1.0,TOWNHOUSE,FOR_SALE
248,248,21.341562,-158.02162,0.8280262278965945,5.0,3.0,SINGLE_FAMILY,FOR_SALE
249,249,21.392454,-157.99825,0.9026979318151251,5.0,3.0,SINGLE_FAMILY,FOR_SALE
250,250,21.28365,-157.81883,2.0742139977369605,,,MULTI_FAMILY,FOR_SALE
251,251,21.35911,-157.85141,0.7458873535862109,7.0,2.0,SINGLE_FAMILY,FOR_SALE
252,252,21.287172,-157.83961,0.4969816738577757,2.0,2.0,CONDO,FOR_SALE
253,253,21.482248,-158.20401,0.4106943715519181,2.0,2.0,CONDO,FOR_SALE
254,254,21.314623,-157.85614,0.37335851959265287,2.0,1.0,CONDO,FOR_SALE
255,255,21.579473,-158.10805,0.7052327592305665,3.0,2.0,SINGLE_FAMILY,FOR_SALE
256,256,21.345745,-157.90135,0.38912254597545376,2.0,2.0,CONDO,FOR_SALE
257,257,21.257713,-157.79227,2.0742139977369605,3.0,1.0,SINGLE_FAMILY,FOR_SALE
258,258,21.438845,-158.18675,0.788201319140045,4.0,2.0,SINGLE_FAMILY,FOR_SALE
259,259,21.420477,-157.79916,1.157411410737224,5.0,3.0,SINGLE_FAMILY,FOR_SALE
260,260,21.396297,-157.95164,0.5708236921772115,3.0,3.0,TOWNHOUSE,FOR_SALE
261,261,21.382265,-157.73051,1.5349183583253507,7.0,4.0,SINGLE_FAMILY,FOR_SALE
262,262,21.283016,-157.81595,0.35261637961528325,1.0,1.0,CONDO,FOR_SALE
263,263,21.311361,-158.02074,0.9541384389590017,4.0,4.0,SINGLE_FAMILY,FOR_SALE
264,264,21.361654,-157.76697,0.734271755198884,3.0,3.0,TOWNHOUSE,FOR_SALE
265,265,21.551006,-157.84789,1.572254210284616,2.0,2.0,SINGLE_FAMILY,FOR_SALE
266,266,21.34458,-157.91162,0.40488657235825465,3.0,2.0,CONDO,FOR_SALE
267,267,21.32203,-158.01045,0.6637484792758274,4.0,1.0,SINGLE_FAMILY,FOR_SALE
268,268,21.30868,-158.02193,1.306754818574285,4.0,3.0,SINGLE_FAMILY,FOR_SALE
269,269,21.346085,-158.08934,0.6878093616495761,3.0,2.0,SINGLE_FAMILY,FOR_SALE
270,270,21.41832,-158.00226,0.8122622015137937,3.0,2.0,SINGLE_FAMILY,FOR_SALE
271,271,21.393122,-157.73958,1.0163648588911105,3.0,2.0,CONDO,FOR_SALE
272,272,21.332838,-157.86201,1.0777615932241247,4.0,2.0,SINGLE_FAMILY,FOR_SALE
273,273,21.402803,-157.74602,1.315051674565233,3.0,4.0,SINGLE_FAMILY,FOR_SALE
274,274,21.409328,-158.17148,0.4978113594568705,4.0,3.0,SINGLE_FAMILY,FOR_SALE
275,275,21.388891,-157.79932,1.1408176987553282,3.0,2.0,SINGLE_FAMILY,FOR_SALE
276,276,21.277164,-157.75244,8.130918871128884,3.0,5.0,SINGLE_FAMILY,FOR_SALE
277,277,21.31567,-157.8543,0.5953823859104171,5.0,2.0,MULTI_FAMILY,FOR_SALE
278,278,21.356903,-158.08818,0.46877236348855306,2.0,1.0,TOWNHOUSE,FOR_SALE
